"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 27 21:53:05 GMT 2024","Sun Oct 27 21:53:06 GMT 2024","618","","Endpoint de Login","","org.restassured.bookstore.test.LoginTest","testLoginComUsernameInvalida","testLoginComUsernameInvalida()","CE-04 Tentar login com username inválido"
"passed","Sun Oct 27 21:53:04 GMT 2024","Sun Oct 27 21:53:05 GMT 2024","688","","Endpoint de Registro","","org.restassured.bookstore.test.SignupTest","testValidarRegistroComSucesso","testValidarRegistroComSucesso()","CE-01 Validar registro com credenciais válidas"
"passed","Sun Oct 27 21:53:01 GMT 2024","Sun Oct 27 21:53:04 GMT 2024","3243","","Endpoint de Registro","","org.restassured.bookstore.test.SignupTest","testRegistroComUsernameVazio","testRegistroComUsernameVazio()","CE-02 Tentar registro com campo username vazio"
"passed","Sun Oct 27 21:53:09 GMT 2024","Sun Oct 27 21:53:10 GMT 2024","373","","Endpoint de Checagem de Autorização","","org.restassured.bookstore.test.CheckAuthorizationTest","testChecarAutorizacaoPasswordInvalido","testChecarAutorizacaoPasswordInvalido()","CE-04 Tentar checar autorização com senha inválida"
"passed","Sun Oct 27 21:52:39 GMT 2024","Sun Oct 27 21:52:40 GMT 2024","1042","","Endpoint de Listar todos os livros","","org.restassured.bookstore.test.BookTest","testValidarContratoListBooks","testValidarContratoListBooks()","CE-00 Validar contrato de listar livros"
"passed","Sun Oct 27 21:53:08 GMT 2024","Sun Oct 27 21:53:08 GMT 2024","263","","Endpoint de Login","","org.restassured.bookstore.test.LoginTest","testLoginComUsernameVazio","testLoginComUsernameVazio()","CE-05 Tentar login com campo username vazio"
"passed","Sun Oct 27 21:53:07 GMT 2024","Sun Oct 27 21:53:08 GMT 2024","555","","Endpoint de Login","","org.restassured.bookstore.test.LoginTest","testLoginComDadosInvalidos","testLoginComDadosInvalidos()","CE-02 Tentar login com username e senha inválidos"
"passed","Sun Oct 27 21:53:07 GMT 2024","Sun Oct 27 21:53:08 GMT 2024","592","","Endpoint de Login","","org.restassured.bookstore.test.LoginTest","testValidarLoginComSucesso","testValidarLoginComSucesso()","CE-01 Validar login com credenciais válidas"
"passed","Sun Oct 27 21:53:09 GMT 2024","Sun Oct 27 21:53:09 GMT 2024","402","","Endpoint de Checagem de Autorização","","org.restassured.bookstore.test.CheckAuthorizationTest","testChecarAutorizacaoDadosInvalidos","testChecarAutorizacaoDadosInvalidos()","CE-02 Tentar checar autorização com username e senha inválidos"
"passed","Sun Oct 27 21:52:36 GMT 2024","Sun Oct 27 21:52:39 GMT 2024","3115","","Endpoint de Login","","org.restassured.bookstore.test.LoginTest","testValidarContratoLogin","testValidarContratoLogin()","CE-00 Validar contrato de login"
"passed","Sun Oct 27 21:53:07 GMT 2024","Sun Oct 27 21:53:07 GMT 2024","270","","Endpoint de Login","","org.restassured.bookstore.test.LoginTest","testLoginComSenhaVazio","testLoginComSenhaVazio()","CE-06 Tentar login com campo senha vazio"
"passed","Sun Oct 27 21:53:05 GMT 2024","Sun Oct 27 21:53:05 GMT 2024","295","","Endpoint de Registro","","org.restassured.bookstore.test.SignupTest","testRegistroComSenhaVazia","testRegistroComSenhaVazia()","CE-03 Tentar registro com campo senha vazio"
"passed","Sun Oct 27 21:53:07 GMT 2024","Sun Oct 27 21:53:07 GMT 2024","548","","Endpoint de Login","","org.restassured.bookstore.test.LoginTest","testLoginComSenhaInvalida","testLoginComSenhaInvalida()","CE-03 Tentar login com senha inválida"
"passed","Sun Oct 27 21:53:10 GMT 2024","Sun Oct 27 21:53:11 GMT 2024","806","","Endpoint de Listar todos os livros","","org.restassured.bookstore.test.BookTest","testValidarListarTodosLivrosComSucesso","testValidarListarTodosLivrosComSucesso()","CE-01 Validar listar todos os livros"
"passed","Sun Oct 27 21:53:09 GMT 2024","Sun Oct 27 21:53:09 GMT 2024","383","","Endpoint de Checagem de Autorização","","org.restassured.bookstore.test.CheckAuthorizationTest","testChecarAutorizacaoUsernameInvalido","testChecarAutorizacaoUsernameInvalido()","CE-03 Tentar checar autorização com username inválido"
"passed","Sun Oct 27 21:53:08 GMT 2024","Sun Oct 27 21:53:09 GMT 2024","381","","Endpoint de Checagem de Autorização","","org.restassured.bookstore.test.CheckAuthorizationTest","testValidarChecagemAutorizacaoComSucesso","testValidarChecagemAutorizacaoComSucesso()","CE-01 Validar checagem de autorização com credenciais válidas"
