"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 16 21:53:23 GMT 2024","Wed Oct 16 21:53:24 GMT 2024","505","","Endpoint de Checagem de Autorização","","org.restassured.bookstore.test.CheckAuthorizationTest","testValidarChecagemAutorizacaoComSucesso","testValidarChecagemAutorizacaoComSucesso()","CE-01 Validar checagem de autorização com credenciais válidas"
"passed","Wed Oct 16 21:53:24 GMT 2024","Wed Oct 16 21:53:25 GMT 2024","607","","Endpoint de Checagem de Autorização","","org.restassured.bookstore.test.CheckAuthorizationTest","testChecarAutorizacaoUsernameInvalido","testChecarAutorizacaoUsernameInvalido()","CE-03 Tentar checar autorização com username inválido"
"passed","Wed Oct 16 21:53:20 GMT 2024","Wed Oct 16 21:53:21 GMT 2024","754","","Endpoint de Login","","org.restassured.bookstore.test.LoginTest","testValidarLoginComSucesso","testValidarLoginComSucesso()","CE-01 Validar login com credenciais válidas"
"passed","Wed Oct 16 21:53:19 GMT 2024","Wed Oct 16 21:53:19 GMT 2024","496","","Endpoint de Registro","","org.restassured.bookstore.test.SignupTest","testRegistroComSenhaVazia","testRegistroComSenhaVazia()","CE-03 Tentar registro com campo senha vazio"
"passed","Wed Oct 16 21:53:13 GMT 2024","Wed Oct 16 21:53:18 GMT 2024","4335","","Endpoint de Registro","","org.restassured.bookstore.test.SignupTest","testRegistroComUsernameVazio","testRegistroComUsernameVazio()","CE-02 Tentar registro com campo username vazio"
"passed","Wed Oct 16 21:53:22 GMT 2024","Wed Oct 16 21:53:23 GMT 2024","736","","Endpoint de Login","","org.restassured.bookstore.test.LoginTest","testLoginComDadosInvalidos","testLoginComDadosInvalidos()","CE-02 Tentar login com username e senha inválidos"
"passed","Wed Oct 16 21:53:21 GMT 2024","Wed Oct 16 21:53:22 GMT 2024","757","","Endpoint de Login","","org.restassured.bookstore.test.LoginTest","testLoginComSenhaInvalida","testLoginComSenhaInvalida()","CE-03 Tentar login com senha inválida"
"passed","Wed Oct 16 21:52:41 GMT 2024","Wed Oct 16 21:52:45 GMT 2024","3264","","Endpoint de Login","","org.restassured.bookstore.test.LoginTest","testValidarContratoLogin","testValidarContratoLogin()","CE-00 Validar contrato de login"
"passed","Wed Oct 16 21:53:26 GMT 2024","Wed Oct 16 21:53:27 GMT 2024","1276","","Endpoint de Listar todos os livros","","org.restassured.bookstore.test.BookTest","testValidarListarTodosLivrosComSucesso","testValidarListarTodosLivrosComSucesso()","CE-01 Validar listar todos os livros"
"passed","Wed Oct 16 21:52:45 GMT 2024","Wed Oct 16 21:52:46 GMT 2024","963","","Endpoint de Listar todos os livros","","org.restassured.bookstore.test.BookTest","testValidarContratoListBooks","testValidarContratoListBooks()","CE-00 Validar contrato de listar livros"
"passed","Wed Oct 16 21:53:25 GMT 2024","Wed Oct 16 21:53:26 GMT 2024","569","","Endpoint de Checagem de Autorização","","org.restassured.bookstore.test.CheckAuthorizationTest","testChecarAutorizacaoPasswordInvalido","testChecarAutorizacaoPasswordInvalido()","CE-04 Tentar checar autorização com senha inválida"
"passed","Wed Oct 16 21:53:24 GMT 2024","Wed Oct 16 21:53:24 GMT 2024","668","","Endpoint de Checagem de Autorização","","org.restassured.bookstore.test.CheckAuthorizationTest","testChecarAutorizacaoDadosInvalidos","testChecarAutorizacaoDadosInvalidos()","CE-02 Tentar checar autorização com username e senha inválidos"
"passed","Wed Oct 16 21:53:18 GMT 2024","Wed Oct 16 21:53:19 GMT 2024","842","","Endpoint de Registro","","org.restassured.bookstore.test.SignupTest","testValidarRegistroComSucesso","testValidarRegistroComSucesso()","CE-01 Validar registro com credenciais válidas"
"passed","Wed Oct 16 21:53:19 GMT 2024","Wed Oct 16 21:53:20 GMT 2024","837","","Endpoint de Login","","org.restassured.bookstore.test.LoginTest","testLoginComUsernameInvalida","testLoginComUsernameInvalida()","CE-04 Tentar login com username inválido"
"passed","Wed Oct 16 21:53:23 GMT 2024","Wed Oct 16 21:53:23 GMT 2024","467","","Endpoint de Login","","org.restassured.bookstore.test.LoginTest","testLoginComUsernameVazio","testLoginComUsernameVazio()","CE-05 Tentar login com campo username vazio"
"passed","Wed Oct 16 21:53:21 GMT 2024","Wed Oct 16 21:53:21 GMT 2024","478","","Endpoint de Login","","org.restassured.bookstore.test.LoginTest","testLoginComSenhaVazio","testLoginComSenhaVazio()","CE-06 Tentar login com campo senha vazio"
