"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 25 09:52:02 GMT 2024","Fri Oct 25 09:52:02 GMT 2024","369","","Endpoint de Checagem de Autorização","","org.restassured.bookstore.test.CheckAuthorizationTest","testValidarChecagemAutorizacaoComSucesso","testValidarChecagemAutorizacaoComSucesso()","CE-01 Validar checagem de autorização com credenciais válidas"
"passed","Fri Oct 25 09:52:00 GMT 2024","Fri Oct 25 09:52:01 GMT 2024","649","","Endpoint de Login","","org.restassured.bookstore.test.LoginTest","testLoginComSenhaInvalida","testLoginComSenhaInvalida()","CE-03 Tentar login com senha inválida"
"passed","Fri Oct 25 09:52:00 GMT 2024","Fri Oct 25 09:52:00 GMT 2024","327","","Endpoint de Login","","org.restassured.bookstore.test.LoginTest","testLoginComSenhaVazio","testLoginComSenhaVazio()","CE-06 Tentar login com campo senha vazio"
"passed","Fri Oct 25 09:52:01 GMT 2024","Fri Oct 25 09:52:01 GMT 2024","582","","Endpoint de Login","","org.restassured.bookstore.test.LoginTest","testLoginComDadosInvalidos","testLoginComDadosInvalidos()","CE-02 Tentar login com username e senha inválidos"
"passed","Fri Oct 25 09:52:01 GMT 2024","Fri Oct 25 09:52:02 GMT 2024","324","","Endpoint de Login","","org.restassured.bookstore.test.LoginTest","testLoginComUsernameVazio","testLoginComUsernameVazio()","CE-05 Tentar login com campo username vazio"
"passed","Fri Oct 25 09:51:21 GMT 2024","Fri Oct 25 09:51:23 GMT 2024","1353","","Endpoint de Listar todos os livros","","org.restassured.bookstore.test.BookTest","testValidarContratoListBooks","testValidarContratoListBooks()","CE-00 Validar contrato de listar livros"
"passed","Fri Oct 25 09:51:58 GMT 2024","Fri Oct 25 09:51:59 GMT 2024","675","","Endpoint de Login","","org.restassured.bookstore.test.LoginTest","testLoginComUsernameInvalida","testLoginComUsernameInvalida()","CE-04 Tentar login com username inválido"
"passed","Fri Oct 25 09:52:02 GMT 2024","Fri Oct 25 09:52:03 GMT 2024","432","","Endpoint de Checagem de Autorização","","org.restassured.bookstore.test.CheckAuthorizationTest","testChecarAutorizacaoUsernameInvalido","testChecarAutorizacaoUsernameInvalido()","CE-03 Tentar checar autorização com username inválido"
"passed","Fri Oct 25 09:51:18 GMT 2024","Fri Oct 25 09:51:21 GMT 2024","3295","","Endpoint de Login","","org.restassured.bookstore.test.LoginTest","testValidarContratoLogin","testValidarContratoLogin()","CE-00 Validar contrato de login"
"passed","Fri Oct 25 09:51:57 GMT 2024","Fri Oct 25 09:51:58 GMT 2024","664","","Endpoint de Registro","","org.restassured.bookstore.test.SignupTest","testValidarRegistroComSucesso","testValidarRegistroComSucesso()","CE-01 Validar registro com credenciais válidas"
"passed","Fri Oct 25 09:52:03 GMT 2024","Fri Oct 25 09:52:04 GMT 2024","924","","Endpoint de Listar todos os livros","","org.restassured.bookstore.test.BookTest","testValidarListarTodosLivrosComSucesso","testValidarListarTodosLivrosComSucesso()","CE-01 Validar listar todos os livros"
"passed","Fri Oct 25 09:51:59 GMT 2024","Fri Oct 25 09:52:00 GMT 2024","596","","Endpoint de Login","","org.restassured.bookstore.test.LoginTest","testValidarLoginComSucesso","testValidarLoginComSucesso()","CE-01 Validar login com credenciais válidas"
"passed","Fri Oct 25 09:52:02 GMT 2024","Fri Oct 25 09:52:02 GMT 2024","420","","Endpoint de Checagem de Autorização","","org.restassured.bookstore.test.CheckAuthorizationTest","testChecarAutorizacaoDadosInvalidos","testChecarAutorizacaoDadosInvalidos()","CE-02 Tentar checar autorização com username e senha inválidos"
"passed","Fri Oct 25 09:51:58 GMT 2024","Fri Oct 25 09:51:58 GMT 2024","344","","Endpoint de Registro","","org.restassured.bookstore.test.SignupTest","testRegistroComSenhaVazia","testRegistroComSenhaVazia()","CE-03 Tentar registro com campo senha vazio"
"passed","Fri Oct 25 09:52:03 GMT 2024","Fri Oct 25 09:52:03 GMT 2024","442","","Endpoint de Checagem de Autorização","","org.restassured.bookstore.test.CheckAuthorizationTest","testChecarAutorizacaoPasswordInvalido","testChecarAutorizacaoPasswordInvalido()","CE-04 Tentar checar autorização com senha inválida"
"passed","Fri Oct 25 09:51:53 GMT 2024","Fri Oct 25 09:51:57 GMT 2024","4449","","Endpoint de Registro","","org.restassured.bookstore.test.SignupTest","testRegistroComUsernameVazio","testRegistroComUsernameVazio()","CE-02 Tentar registro com campo username vazio"
